fetched_at_et,quote_ts,spot,expiry,type,strike,bid,ask,bid_size,ask_size,last_trade_price,iv,delta,gamma,theta,vega,rho,volume,open_interest
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,C,727.0,37.98,38.1,21.0,18.0,38.08,0.857,0.996,0.0008,-0.0175,0.0019,0.0,6.0,110.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,P,727.0,0.0,0.01,0.0,1545.0,0.01,0.8051,-0.004,0.0008,-0.0175,0.0019,0.0,17243.0,3242.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,C,728.0,36.98,37.1,21.0,14.0,37.73,0.8359,0.9959,0.0008,-0.0176,0.002,0.0,22.0,23.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,P,728.0,0.0,0.01,0.0,1431.0,0.01,0.7852,-0.0041,0.0008,-0.0176,0.002,0.0,2795.0,1242.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,C,729.0,35.98,36.11,21.0,17.0,36.47,0.8954,0.9958,0.0009,-0.0178,0.002,0.0,677.0,29.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,P,729.0,0.0,0.01,0.0,1635.0,0.01,0.7653,-0.0042,0.0009,-0.0178,0.002,0.0,3068.0,3626.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,C,730.0,34.98,35.11,26.0,10.0,35.94,0.8726,0.9957,0.0009,-0.018,0.0021,0.0,21.0,228.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,P,730.0,0.0,0.01,0.0,1320.0,0.01,0.7453,-0.0043,0.0009,-0.018,0.0021,0.0,1097.0,7202.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,C,731.0,33.98,34.1,21.0,5.0,33.55,0.8498,0.9955,0.001,-0.0181,0.0022,0.0,22.0,71.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,P,731.0,0.0,0.01,0.0,737.0,0.01,0.7254,-0.0045,0.001,-0.0181,0.0022,0.0,994.0,1925.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,C,732.0,32.98,33.12,26.0,14.0,33.98,0.7518,0.9954,0.001,-0.0183,0.0022,0.0,53.0,244.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,P,732.0,0.01,0.02,622.0,2525.0,0.01,0.7828,-0.0046,0.001,-0.0183,0.0022,0.0,5441.0,35851.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,C,733.0,31.98,32.1,27.0,17.0,32.95,0.7307,0.9952,0.0011,-0.0185,0.0023,0.0,17.0,224.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,P,733.0,0.0,0.01,0.0,1399.0,0.01,0.6854,-0.0048,0.0011,-0.0185,0.0023,0.0,2691.0,3439.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,C,734.0,30.98,31.1,27.0,18.0,31.55,0.798,0.995,0.0012,-0.0186,0.0024,0.0,5.0,103.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,P,734.0,0.0,0.01,0.0,1229.0,0.02,0.6654,-0.005,0.0012,-0.0186,0.0024,0.0,29980.0,7497.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,C,735.0,29.98,30.1,5.0,20.0,29.88,0.6884,0.9949,0.0012,-0.0188,0.0025,0.0,579.0,139.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,P,735.0,0.01,0.02,727.0,2630.0,0.02,0.7173,-0.0051,0.0012,-0.0188,0.0025,0.0,850.0,3895.0
2026-09-11 12:47:53,2026-09-11T12:32:10,765.04,2026-09-11,C,736.0,28.98,29.11,27.0,16.0,29.44,0.6672,0.9947,0.0013,-0.019,0.0026,0.0,42.0,157.0
