bucket,hold_min,stop_pts,loss_at_stop_%,need_gain_%,req_target_pts,req_mult
09:30-10:00,15,0.25,-13.0,19.5,0.73,2.94
09:30-10:00,15,0.4,-16.8,25.2,0.91,2.26
09:30-10:00,15,0.5,-19.4,29.1,1.02,2.03
09:30-10:00,15,0.75,-25.5,38.2,1.26,1.68
09:30-10:00,30,0.25,-17.2,25.9,1.04,4.14
09:30-10:00,30,0.4,-21.1,31.7,1.2,2.99
09:30-10:00,30,0.5,-23.8,35.6,1.29,2.59
09:30-10:00,30,0.75,-29.5,44.2,1.49,1.99
09:30-10:00,60,0.25,-24.9,37.4,1.51,6.03
09:30-10:00,60,0.4,-28.8,43.2,1.64,4.1
09:30-10:00,60,0.5,-31.4,47.1,1.73,3.45
09:30-10:00,60,0.75,-36.9,55.4,1.93,2.57
10:00-10:30,15,0.25,-12.9,19.3,0.67,2.66
10:00-10:30,15,0.4,-17.1,25.6,0.83,2.08
10:00-10:30,15,0.5,-19.9,29.9,0.94,1.89
10:00-10:30,15,0.75,-26.4,39.6,1.19,1.58
10:00-10:30,30,0.25,-16.4,24.5,0.89,3.58
10:00-10:30,30,0.4,-20.6,30.9,1.05,2.62
10:00-10:30,30,0.5,-23.4,35.1,1.15,2.3
10:00-10:30,30,0.75,-30.4,45.6,1.4,1.87
10:00-10:30,60,0.25,-23.8,35.7,1.34,5.38
10:00-10:30,60,0.4,-28.6,42.8,1.51,3.76
10:00-10:30,60,0.5,-31.7,47.6,1.61,3.22
10:00-10:30,60,0.75,-39.1,58.7,1.85,2.47
10:30-11:00,15,0.25,-13.8,20.7,0.67,2.69
10:30-11:00,15,0.4,-19.3,29.0,0.89,2.22
10:30-11:00,15,0.5,-23.0,34.5,1.03,2.05
10:30-11:00,15,0.75,-30.5,45.7,1.27,1.7
10:30-11:00,30,0.25,-18.0,27.0,0.95,3.79
10:30-11:00,30,0.4,-23.1,34.7,1.12,2.81
10:30-11:00,30,0.5,-26.5,39.7,1.24,2.48
10:30-11:00,30,0.75,-34.0,51.1,1.48,1.97
10:30-11:00,60,0.25,-23.5,35.3,1.31,5.26
10:30-11:00,60,0.4,-28.8,43.2,1.49,3.72
10:30-11:00,60,0.5,-32.3,48.4,1.59,3.18
10:30-11:00,60,0.75,-40.4,60.6,1.82,2.43
11:00-12:00,15,0.25,-14.4,21.5,0.57,2.28
11:00-12:00,15,0.4,-19.9,29.8,0.74,1.85
11:00-12:00,15,0.5,-23.6,35.4,0.86,1.71
11:00-12:00,15,0.75,-31.6,47.4,1.09,1.46
11:00-12:00,30,0.25,-18.0,27.0,0.76,3.04
11:00-12:00,30,0.4,-23.4,35.0,0.91,2.28
11:00-12:00,30,0.5,-26.9,40.4,1.02,2.03
11:00-12:00,30,0.75,-34.7,52.0,1.24,1.65
11:00-12:00,60,0.25,-23.6,35.4,1.05,4.21
11:00-12:00,60,0.4,-29.0,43.5,1.19,2.98
11:00-12:00,60,0.5,-32.6,48.9,1.28,2.57
11:00-12:00,60,0.75,-40.7,61.0,1.5,2.0
12:00-13:00,15,0.25,-14.8,22.2,0.52,2.09
12:00-13:00,15,0.4,-20.7,31.1,0.69,1.73
12:00-13:00,15,0.5,-24.6,36.9,0.79,1.59
12:00-13:00,15,0.75,-34.3,51.4,1.02,1.36
12:00-13:00,30,0.25,-18.3,27.4,0.68,2.71
12:00-13:00,30,0.4,-24.5,36.8,0.84,2.09
12:00-13:00,30,0.5,-28.7,43.0,0.93,1.87
12:00-13:00,30,0.75,-37.3,55.9,1.14,1.52
12:00-13:00,60,0.25,-27.0,40.5,0.99,3.96
12:00-13:00,60,0.4,-33.4,50.2,1.14,2.85
12:00-13:00,60,0.5,-37.8,56.6,1.24,2.49
12:00-13:00,60,0.75,-45.9,68.9,1.43,1.9
13:00-14:00,15,0.25,-19.0,28.5,0.53,2.11
13:00-14:00,15,0.4,-26.4,39.6,0.69,1.72
13:00-14:00,15,0.5,-31.3,47.0,0.79,1.58
13:00-14:00,15,0.75,-42.0,63.0,1.0,1.34
13:00-14:00,30,0.25,-24.1,36.1,0.69,2.76
13:00-14:00,30,0.4,-31.2,46.8,0.84,2.1
13:00-14:00,30,0.5,-35.9,53.9,0.94,1.88
13:00-14:00,30,0.75,-45.9,68.9,1.14,1.51
13:00-14:00,60,0.25,-31.2,46.9,0.9,3.59
13:00-14:00,60,0.4,-38.7,58.1,1.04,2.61
13:00-14:00,60,0.5,-43.7,65.5,1.14,2.27
13:00-14:00,60,0.75,-53.6,80.4,1.32,1.76
14:00-15:00,15,0.25,-19.2,28.8,0.43,1.7
14:00-15:00,15,0.4,-27.7,41.5,0.58,1.45
14:00-15:00,15,0.5,-33.3,50.0,0.68,1.35
14:00-15:00,15,0.75,-44.7,67.1,0.86,1.15
14:00-15:00,30,0.25,-24.2,36.3,0.58,2.32
14:00-15:00,30,0.4,-32.8,49.2,0.74,1.84
14:00-15:00,30,0.5,-38.5,57.7,0.82,1.65
14:00-15:00,30,0.75,-50.4,75.6,1.0,1.34
14:00-15:00,60,0.25,-35.5,53.3,0.9,3.6
14:00-15:00,60,0.4,-43.3,65.0,1.03,2.57
14:00-15:00,60,0.5,-48.6,72.9,1.1,2.2
14:00-15:00,60,0.75,-59.8,89.7,1.25,1.67
15:00-16:00,15,0.25,-25.6,38.4,0.49,1.95
15:00-16:00,15,0.4,-35.6,53.3,0.63,1.58
15:00-16:00,15,0.5,-42.2,63.3,0.73,1.45
15:00-16:00,15,0.75,-55.5,83.3,0.9,1.2
15:00-16:00,30,0.25,-33.0,49.5,0.7,2.79
